COUNT RACE/ETHNICITY  DIAGNOSIS COHORT
   5 AFRICAN AMERICAN    UNKNOWN    KUGATHASAN
   5 AFRICAN AMERICAN    UNKNOWN    NEWBERRY
  28 AJ    UNKNOWN    CHO
   1 AJ    UNKNOWN    MCGOVERN
   1 NFE    UNKNOWN    FRANCHIMONT
   1 NFE    UNKNOWN    PLAGNOL
  95 NFE    UNKNOWN    WEERSMA
   1 US- MGH PRISM    UNKNOWN    XAVIER
 164 US- NIDDK    UNKNOWN    NIDDK-BRANT
 589 US- NIDDK    UNKNOWN    NIDDK-CHO
 135 US- Other Cohorts    UNKNOWN    CCFA
   2 US- Other Cohorts    UNKNOWN    SHARE-CEDARS
   7 US- Other Cohorts    UNKNOWN    SHARE-MAYO
  21 US- Other Cohorts    UNKNOWN    SHARE-UNC
   3 US- Other Cohorts    UNKNOWN    WINTER
